port_id,country,source
Shanghai,Kina,Havne_koor_newest_opdateret.txt
Singapore,Singapore,Havne_koor_newest_opdateret.txt
Ningbo-Zhoushan,Kina,Havne_koor_newest_opdateret.txt
Shenzhen,Kina,Havne_koor_newest_opdateret.txt
Qing Dao,Kina,Havne_koor_newest_opdateret.txt
Guangzhou,Kina,Havne_koor_newest_opdateret.txt
Busan,Sydkorea,Havne_koor_newest_opdateret.txt
Tianjin,Kina,Havne_koor_newest_opdateret.txt
Jebel Ali,UAE,Havne_koor_newest_opdateret.txt
Port Klang,Malaysia,Havne_koor_newest_opdateret.txt
Rotterdam,Holland,Havne_koor_newest_opdateret.txt
Hong Kong,Hong Kong,Havne_koor_newest_opdateret.txt
Antwerp-Brugges,Belgien,Havne_koor_newest_opdateret.txt
Xiamen,Kina,Havne_koor_newest_opdateret.txt
Tanjung Pelepas,Malaysia,Havne_koor_newest_opdateret.txt
Los Angeles,USA,Havne_koor_newest_opdateret.txt
Tanger Med,Marokko,Havne_koor_newest_opdateret.txt
Suzhou,Kina,Havne_koor_newest_opdateret.txt
Long Beach,USA,Havne_koor_newest_opdateret.txt
Laem Chabang,Thailand,Havne_koor_newest_opdateret.txt
Kaohsiung,Taiwan,Havne_koor_newest_opdateret.txt
Ho Chi Minh City,Vietnam,Havne_koor_newest_opdateret.txt
Guangxi Beibu,Kina,Havne_koor_newest_opdateret.txt
New York New Jersey,USA,Havne_koor_newest_opdateret.txt
Mundra,Indien,Havne_koor_newest_opdateret.txt
Hamborg,Tyskland,Havne_koor_newest_opdateret.txt
Tanjung Priok,Indonesia,Havne_koor_newest_opdateret.txt
Manila,Filippinerne,Havne_koor_newest_opdateret.txt
Santos,Brasilien,Havne_koor_newest_opdateret.txt
Valencia,Spanien,Havne_koor_newest_opdateret.txt
Piraeus,Grækenland,Havne_koor_newest_opdateret.txt
Bremen,Tyskland,Havne_koor_newest_opdateret.txt
Tokyo,Japan,Havne_koor_newest_opdateret.txt
Algeciras,Spanien,Havne_koor_newest_opdateret.txt
Savannah,USA,Havne_koor_newest_opdateret.txt
Houston,USA,Havne_koor_newest_opdateret.txt
Abu Dhabi,UAE,Havne_koor_newest_opdateret.txt
Da Lian,Kina,Havne_koor_newest_opdateret.txt
Dongguan,Kina,Havne_koor_newest_opdateret.txt
Colombo,Sri Lanka,Havne_koor_newest_opdateret.txt
Colon,Panama,Havne_koor_newest_opdateret.txt
Balboa,Panama,Havne_koor_newest_opdateret.txt
Hai Phong,Vietnam,Havne_koor_newest_opdateret.txt
Cai Mep,Vietnam,Havne_koor_newest_opdateret.txt
Jawaharal Nehru,Indien,Havne_koor_newest_opdateret.txt
Rizhao,Kina,Havne_koor_newest_opdateret.txt
Yingkou,Kina,Havne_koor_newest_opdateret.txt
Yantai,Kina,Havne_koor_newest_opdateret.txt
Tanjung Perak,Indonesia,Havne_koor_newest_opdateret.txt
Lianyungang,Kina,Havne_koor_newest_opdateret.txt
