forecast_horizon_months,Distributed lag,Elastic net panel,OLS predictive,Random forest panel
1,0.915242569039211,0.7123318965569224,0.6024151691509965,0.7735211593754131
2,0.5011242361539899,0.5177681627862667,0.3944466778317327,0.489469798151021
3,0.6096883837258092,0.6369228142034812,0.6239652488691549,0.6454790402593609
4,0.6751397574684386,0.667366436485138,0.6182506679324261,0.6512156825452621
5,0.830917702276103,0.8376305989262631,0.829936989166972,0.8128810525372626
6,0.8109589131526922,0.8122822234079093,0.8220636203943742,0.8385325103437419
7,0.6248387084135287,0.6190965106477361,0.6200835108488889,0.624637766637066
8,0.4915677038994618,0.4617666499081322,0.4590443298773509,0.4694150306939658
9,0.4584699009472573,0.4451036923514352,0.4574443651710329,0.4128079602254154
10,0.5297624183734171,0.5230171320290306,0.5405890371089,0.5272313612337899
11,0.5493786973892365,0.5345506998127891,0.5447047328147803,0.582480979035415
12,0.625545311673879,0.640657565490309,0.647214109067632,0.6400865836837905
